,Title,Year,Rated,Runtime,Country,Genre,Plot,Metascore,IMDBRating
38,The Hustle,2019,PG-13,93,USA,"Comedy, Crime","Anne Hathaway and Rebel Wilson star as female scam artists, one low rent and the other high class, who team up to take down the men who have wronged them.",35.0,5.3
39,Cold Pursuit,2019,R,119,"UK, Norway, Canada, USA, France, Germany","Action, Crime, Drama, Thriller",A grieving snowplow driver seeks out revenge against the drug dealers who killed his son. Based on the 2014 Norwegian film 'In Order of Disappearance'.,57.0,6.2
40,Dragon Ball Super: Broly,2018,PG,100,Japan,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi","Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before.",59.0,7.9
41,Overcomer,2019,PG,119,USA,"Drama, Sport",A high-school basketball coach volunteers to coach a troubled teen in long-distance running.,17.0,6.7
42,Long Shot,2019,R,125,USA,"Comedy, Romance","Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",67.0,7.0
43,Ready or Not,2019,R,95,USA,"Comedy, Horror, Mystery, Thriller",A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,63.0,7.2
44,Happy Death Day 2U,2019,PG-13,100,"USA, Japan","Comedy, Horror, Mystery, Sci-Fi, Thriller",Tree Gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.,57.0,6.2
45,Midsommar,2019,R,147,"USA, Sweden","Drama, Horror, Mystery, Thriller",A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,72.0,7.6
46,The Art of Racing in the Rain,2019,PG,109,USA,"Comedy, Drama, Sport","Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.",43.0,7.4
47,Fighting with My Family,2019,PG-13,108,"UK, USA","Biography, Comedy, Drama, Sport",A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.,68.0,7.1
48,Booksmart,2019,R,102,USA,Comedy,"On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.",84.0,7.4
49,A Dog's Journey,2019,PG,109,"China, India, Hong Kong, USA","Adventure, Comedy, Drama, Family, Fantasy",A dog finds the meaning of his own existence through the lives of the humans he meets.,43.0,7.4
50,Stuber,2019,R,93,USA,"Action, Comedy, Crime, Thriller",A detective recruits his Uber driver into an unexpected night of adventure.,42.0,6.2
51,47 Meters Down: Uncaged,2019,PG-13,90,"UK, USA","Adventure, Drama, Horror, Thriller",Four teen girls diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.,43.0,5.2
52,UglyDolls,2019,PG,87,"China, Canada, USA","Animation, Adventure, Comedy, Family, Fantasy, Musical","An animated adventure in which the free-spirited UglyDolls confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most.",39.0,4.7
53,Unplanned,2019,R,106,USA,"Biography, Drama","All Abby Johnson ever wanted to do was help women. As one of the youngest Planned Parenthood clinic directors in the nation, she believed in a woman's right to choose. Until the day she saw something that changed everything.",10.0,5.8
54,Brightburn,2019,R,90,USA,"Horror, Sci-Fi","What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",44.0,6.2
55,The Farewell,2019,PG,100,USA,"Comedy, Drama","A Chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies.",90.0,8.2
56,The Kid Who Would Be King,2019,PG,120,"UK, USA","Action, Adventure, Family, Fantasy",A band of kids embark on an epic quest to thwart a medieval menace.,66.0,6.0
57,Missing Link,2019,PG,94,"Canada, USA","Animation, Adventure, Comedy, Family, Fantasy","Mr. Link recruits explorer Sir Lionel Frost to help find his long-lost relatives in the fabled valley of Shangri-La. Along with adventurer Adelina Fortnight, this trio of explorers travel the world to help their new friend.",68.0,6.8
58,The Peanut Butter Falcon,2019,PG-13,97,USA,"Adventure, Comedy, Drama, Sport",Zak runs away from his care home to make his dream of becoming a wrestler come true.,69.0,8.0
